1,Kareem Abdul-Jabbar *,1971-72,24,MIL,NBA,81,,3583,29.9,.603,.574,,,18.1,16.1,,,,,,,18.3,7.1,25.4,.340,.574,,.689
2,Kareem Abdul-Jabbar *,1970-71,23,MIL,NBA,82,,3288,29.0,.606,.577,,,18.9,12.2,,,,,,,17.0,5.3,22.3,.326,.577,,.690
3,Wilt Chamberlain *,1963-64,27,SFW,NBA,80,,3689,31.6,.537,.524,,,,,,,,,,,14.4,10.6,25.0,.325,.524,,.531
4,Kareem Abdul-Jabbar *,1972-73,25,MIL,NBA,76,,3254,28.5,.580,.554,,,18.2,17.9,,,,,,,14.4,7.5,21.9,.322,.554,,.713
5,David Robinson *,1993-94,28,SAS,NBA,80,80,3241,30.7,.577,.510,8.8,20.3,14.8,21.6,2.3,5.4,10.9,32.0,119,98,13.3,6.7,20.0,.296,.507,.345,.749
6,David Robinson *,1995-96,30,SAS,NBA,82,82,3019,29.4,.589,.517,12.3,24.2,18.4,14.6,1.9,6.4,9.8,28.8,120,96,11.1,7.2,18.3,.290,.516,.333,.761
7,Wilt Chamberlain *,1961-62,25,PHW,NBA,80,,3882,31.8,.536,.506,,,,,,,,,,,17.1,6.0,23.1,.286,.506,,.613
8,Wilt Chamberlain *,1966-67,30,PHI,NBA,81,,3682,26.5,.637,.683,,,,21.7,,,,,,,14.8,7.0,21.9,.285,.683,,.441
9,Kareem Abdul-Jabbar *,1976-77,29,LAL,NBA,82,,3016,27.8,.608,.579,9.2,27.2,18.4,16.8,1.5,4.4,,,,92,11.9,5.9,17.8,.283,.579,,.701
10,Tyson Chandler,2012-13,30,NYK,NBA,20,20,614,23.2,.734,.709,15.3,22.5,18.7,3.2,1.1,2.1,11.2,14.8,145,103,2.9,0.8,3.6,.283,.709,,.722
11,Shaquille O'Neal,1999-00,27,LAL,NBA,79,79,3163,30.6,.578,.574,11.5,24.8,18.3,19.3,0.6,5.3,9.9,31.2,115,95,11.7,7.0,18.6,.283,.574,.000,.524
12,Wilt Chamberlain *,1965-66,29,PHI,NBA,79,,3737,28.3,.547,.540,,,,16.8,,,,,,,12.9,8.5,21.4,.275,.540,,.513
