1,Larry Foust,1954-55,26,FTW,NBA,70,,2264,23.0,.570,.487,,,,,,,,,,,10.3,3.0,13.3,.282,.487,,.766
2,Larry Foust,1955-56,27,FTW,NBA,72,,2024,23.8,.547,.447,,,,,,,,,,,8.6,2.6,11.1,.264,.447,,.778
3,Ed Macauley *,1953-54,25,BOS,NBA,71,,2792,23.4,.563,.486,,,,,,,,,,,13.1,1.5,14.6,.252,.486,,.758
4,Ed Macauley *,1951-52,23,BOS,NBA,66,,2631,22.6,.544,.432,,,,,,,,,,,11.3,2.6,13.8,.252,.432,,.799
5,Moses Malone *,1982-83,27,PHI,NBA,78,78,2922,25.1,.578,.501,16.8,25.9,21.6,5.1,1.4,3.0,13.8,26.0,116,97,9.1,6.0,15.1,.248,.501,.000,.761
6,Bob McAdoo *,1974-75,23,BUF,NBA,82,,3539,25.8,.569,.512,9.2,23.5,16.6,8.6,1.2,2.4,,,,95,12.7,5.1,17.8,.242,.512,,.805
7,Ed Macauley *,1952-53,24,BOS,NBA,69,,2902,24.3,.543,.452,,,,,,,,,,,12.2,2.3,14.5,.239,.452,,.750
8,Dwight Howard,2010-11,25,ORL,NBA,78,78,2935,26.0,.616,.593,12.6,30.6,21.8,6.8,1.9,4.9,16.2,27.2,113,94,6.7,7.7,14.4,.236,.593,.000,.596
9,Dwight Howard,2008-09,23,ORL,NBA,79,79,2821,25.4,.600,.572,13.8,29.5,21.8,7.3,1.4,5.9,15.1,26.1,113,95,6.2,7.6,13.8,.234,.572,.000,.594
10,Marcus Camby,2000-01,26,NYK,NBA,63,63,2127,20.9,.559,.525,11.5,29.0,20.5,4.5,1.7,5.2,8.5,17.0,116,91,4.8,5.5,10.3,.233,.524,.125,.667
11,Bob McAdoo *,1973-74,22,BUF,NBA,74,,3185,24.7,.594,.547,9.0,25.4,17.4,8.1,1.2,3.8,,,,95,10.9,4.4,15.3,.231,.547,,.793
12,Willis Reed *,1969-70,27,NYK,NBA,81,,3089,20.3,.552,.507,,,,7.1,,,,,,,7.2,7.5,14.6,.227,.507,,.756
13,Willis Reed *,1968-69,26,NYK,NBA,82,,3108,21.4,.562,.521,,,,9.0,,,,,,,9.5,5.1,14.7,.227,.521,,.747
14,Dwight Howard,2009-10,24,ORL,NBA,82,82,2843,24.0,.630,.612,12.0,31.3,22.0,8.7,1.4,6.0,18.7,23.9,113,95,6.1,7.1,13.2,.223,.612,.000,.592
15,Clyde Lovellette *,1959-60,30,STL,NBA,68,,1953,23.3,.527,.468,,,,,,,,,,,7.1,1.9,9.0,.221,.468,,.821
16,Moses Malone *,1981-82,26,HOU,NBA,81,81,3398,26.8,.576,.519,17.5,21.2,19.3,6.9,1.1,2.1,11.9,29.9,118,106,11.7,3.7,15.4,.218,.519,.000,.762
17,Bill Walton *,1976-77,24,POR,NBA,65,,2264,22.9,.563,.528,9.8,32.3,21.2,15.4,1.3,5.0,,,,91,5.4,4.8,10.2,.215,.528,,.697
18,Bob Houbregs *,1955-56,23,FTW,NBA,70,,1535,22.0,.523,.430,,,,,,,,,,,4.9,1.9,6.9,.214,.430,,.739
19,Patrick Ewing *,1993-94,31,NYK,NBA,79,79,2972,22.9,.551,.497,8.5,24.9,16.9,11.3,1.6,5.1,12.9,29.8,108,93,5.1,8.0,13.1,.211,.496,.286,.765
20,Dan Issel *,1976-77,28,DEN,NBA,79,,2507,21.2,.578,.515,8.8,19.3,14.2,11.0,1.6,0.6,,,,96,7.1,3.8,10.9,.208,.515,,.797
21,Patrick Ewing *,1989-90,27,NYK,NBA,82,82,3165,25.8,.599,.551,8.5,22.4,15.7,10.0,1.2,5.9,12.4,29.4,115,103,8.3,5.3,13.5,.205,.551,.250,.775
