1,Kevin Durant,2012-13,24,OKC,NBA,21,21,827,27.6,.640,.552,2.4,21.4,12.9,19.7,1.9,2.8,13.5,28.6,122,101,3.5,1.3,4.8,.279,.506,.440,.895
2,Dirk Nowitzki,2006-07,28,DAL,NBA,78,78,2820,27.6,.605,.529,5.3,23.9,14.8,17.8,1.0,1.7,9.5,28.9,123,102,11.8,4.5,16.3,.278,.502,.416,.904
3,Dirk Nowitzki,2005-06,27,DAL,NBA,81,81,3089,28.1,.589,.515,4.6,23.4,14.2,14.7,1.0,2.1,7.9,30.0,123,103,13.5,4.3,17.7,.275,.480,.406,.901
4,Kevin Garnett,2003-04,27,MIN,NBA,82,82,3231,29.4,.547,.502,9.1,30.0,20.1,24.4,2.0,4.0,10.5,29.6,112,92,10.4,8.0,18.3,.272,.499,.256,.791
5,Charles Barkley *,1989-90,26,PHI,NBA,79,79,3085,27.1,.661,.608,13.4,20.0,16.7,15.6,2.4,1.0,13.9,24.0,128,105,13.1,4.2,17.3,.269,.600,.217,.749
6,Karl Malone *,1996-97,33,UTA,NBA,82,82,2998,28.9,.600,.550,8.5,24.2,16.8,24.5,2.0,1.3,11.1,32.7,118,101,11.6,5.1,16.7,.268,.550,.000,.755
7,Kevin Garnett,2007-08,31,BOS,NBA,71,71,2328,25.3,.588,.539,7.3,25.1,16.8,19.9,2.3,3.1,10.8,25.5,118,94,6.6,6.2,12.9,.265,.539,.000,.801
8,Tracy McGrady,2002-03,23,ORL,NBA,75,74,2954,30.3,.564,.505,4.6,14.6,9.5,30.0,2.2,1.5,8.4,35.2,116,104,13.2,2.9,16.1,.262,.457,.386,.793
9,Karl Malone *,1997-98,34,UTA,NBA,81,81,3030,27.9,.597,.531,8.3,24.8,17.1,20.9,1.7,1.7,11.9,31.8,118,102,12.1,4.3,16.4,.259,.530,.333,.761
10,Charles Barkley *,1990-91,27,PHI,NBA,67,67,2498,28.9,.635,.589,11.8,18.6,15.3,20.6,2.2,0.8,12.6,29.1,123,106,10.3,3.1,13.4,.258,.570,.284,.722
11,Kenny Sears,1958-59,25,NYK,NBA,71,,2498,22.6,.590,.490,,,,,,,,,,,11.9,1.5,13.3,.256,.490,,.861
12,Charles Barkley *,1987-88,24,PHI,NBA,80,80,3170,27.6,.665,.604,14.0,20.8,17.4,14.1,1.6,1.9,15.2,26.7,126,108,13.4,3.3,16.7,.253,.587,.280,.751
13,Karl Malone *,1998-99,35,UTA,NBA,49,49,1832,25.6,.577,.493,7.7,22.1,15.4,23.0,1.9,1.2,13.8,30.5,112,96,6.2,3.4,9.6,.252,.493,.000,.788
14,Charles Barkley *,1988-89,25,PHI,NBA,79,79,3088,27.0,.653,.594,14.5,21.3,17.9,16.0,2.0,1.3,14.0,24.4,127,108,13.2,2.9,16.1,.250,.579,.216,.753
15,Karl Malone *,1999-00,36,UTA,NBA,82,82,2947,27.1,.582,.510,7.1,24.7,16.1,20.9,1.4,1.9,11.4,31.9,115,100,10.7,4.5,15.3,.249,.509,.250,.797
16,Dirk Nowitzki,2002-03,24,DAL,NBA,80,80,3117,25.6,.581,.513,2.9,25.1,14.0,13.3,1.8,2.0,8.1,27.4,117,98,10.8,5.3,16.1,.249,.463,.379,.881
17,Kevin Garnett,2004-05,28,MIN,NBA,82,82,3121,28.2,.567,.504,9.5,30.2,20.3,27.1,2.1,2.6,12.2,27.1,117,99,10.1,6.0,16.1,.248,.502,.240,.811
18,Dirk Nowitzki,2004-05,26,DAL,NBA,78,78,3020,26.1,.578,.490,3.6,24.0,14.0,14.3,1.7,2.9,9.1,28.7,118,100,10.3,5.2,15.6,.248,.459,.399,.869
19,Karl Malone *,1989-90,26,UTA,NBA,82,82,3122,27.2,.626,.567,9.3,24.0,17.1,13.2,1.9,1.0,13.0,32.6,118,102,10.5,5.4,15.9,.245,.562,.372,.762
20,Larry Bird *,1985-86,29,BOS,NBA,82,81,3113,25.6,.580,.521,7.2,20.4,14.2,26.3,2.5,0.9,12.7,27.6,117,99,9.6,6.2,15.8,.244,.496,.423,.896
21,Larry Bird *,1987-88,31,BOS,NBA,76,75,2965,27.8,.608,.556,4.6,22.3,14.0,25.7,2.1,1.1,10.2,30.2,121,106,11.2,3.8,15.0,.243,.527,.414,.916
22,Larry Bird *,1986-87,30,BOS,NBA,74,73,3005,26.4,.612,.555,5.1,19.2,12.8,28.6,2.2,1.3,12.4,27.5,121,104,10.4,4.8,15.2,.243,.525,.400,.910
23,Charles Barkley *,1992-93,29,PHO,NBA,76,76,2859,25.9,.596,.545,9.5,26.3,18.1,21.2,2.0,1.6,12.5,26.9,120,103,9.6,4.8,14.4,.242,.520,.305,.765
24,Kevin Garnett,2005-06,29,MIN,NBA,76,76,2957,26.8,.589,.529,8.9,29.7,19.6,20.2,1.9,2.7,11.3,25.5,117,98,9.0,5.9,14.9,.242,.526,.267,.810
25,Larry Bird *,1984-85,28,BOS,NBA,80,77,3161,26.5,.585,.538,6.0,22.6,14.7,25.7,1.9,1.7,11.2,28.5,119,103,10.5,5.2,15.7,.238,.522,.427,.882
