1,Vern Mikkelsen *,1951-52,23,MNL,NBA,66,,2345,21.9,.490,.419,,,,,,,,,,,6.5,6.6,13.2,.270,.419,,.761
2,Dolph Schayes *,1953-54,25,SYR,NBA,72,,2655,24.3,.498,.380,,,,,,,,,,,8.4,6.3,14.8,.267,.380,,.827
3,Amare Stoudemire,2007-08,25,PHO,NBA,79,79,2677,27.6,.656,.592,8.2,21.1,15.2,7.5,1.2,4.0,10.3,28.2,124,104,10.9,3.8,14.6,.262,.590,.161,.805
4,Tim Duncan,2001-02,25,SAS,NBA,82,82,3329,27.0,.576,.508,9.6,25.9,18.0,18.3,1.0,4.3,12.7,29.0,114,96,10.7,7.1,17.8,.257,.508,.100,.799
5,Tim Duncan,2012-13,36,SAS,NBA,20,20,605,26.4,.576,.534,7.3,28.2,18.5,14.6,1.4,5.6,9.0,25.9,115,94,1.7,1.4,3.1,.250,.531,.667,.776
6,Tim Duncan,2003-04,27,SAS,NBA,69,68,2527,27.1,.534,.502,10.2,27.6,19.0,17.4,1.3,5.3,11.3,29.7,107,89,5.9,7.2,13.1,.249,.501,.167,.599
7,Tim Duncan,2002-03,26,SAS,NBA,81,81,3181,26.9,.564,.515,9.9,27.3,19.0,19.5,0.9,5.2,12.9,28.0,112,94,9.5,6.9,16.5,.248,.513,.273,.710
8,Bob Pettit *,1958-59,26,STL,NBA,72,,2873,28.2,.519,.438,,,,,,,,,,,11.3,3.5,14.8,.246,.438,,.759
9,Tim Duncan,2004-05,28,SAS,NBA,66,66,2203,27.0,.540,.498,10.7,28.2,19.4,16.1,1.1,5.7,9.3,28.9,112,93,5.5,5.7,11.2,.245,.496,.333,.670
10,Amare Stoudemire,2004-05,22,PHO,NBA,80,80,2889,26.6,.617,.560,8.5,17.4,13.2,7.7,1.3,3.0,10.1,28.3,121,105,11.3,3.3,14.6,.243,.559,.188,.733
11,Horace Grant,1991-92,26,CHI,NBA,81,81,2859,20.6,.618,.578,14.3,18.2,16.3,10.0,1.8,2.9,9.5,15.5,132,102,9.1,5.0,14.1,.237,.578,.000,.741
12,Bob Pettit *,1960-61,28,STL,NBA,76,,3027,25.2,.511,.447,,,,,,,,,,,8.4,6.5,14.9,.237,.447,,.724
13,Bob Pettit *,1955-56,23,STL,NBA,72,,2794,27.3,.502,.429,,,,,,,,,,,8.9,4.8,13.8,.236,.429,,.736
14,Vern Mikkelsen *,1952-53,24,MNL,NBA,70,,2465,21.7,.504,.435,,,,,,,,,,,7.2,4.9,12.0,.235,.435,,.752
15,Harry Gallatin *,1952-53,25,NYK,NBA,70,,2333,23.3,.525,.444,,,,,,,,,,,6.9,4.4,11.3,.232,.444,,.700
16,Pau Gasol,2010-11,30,LAL,NBA,82,82,3037,23.3,.589,.530,10.3,20.5,15.6,15.1,0.8,3.3,9.8,21.8,123,103,10.0,4.7,14.7,.232,.529,.333,.823
17,Kevin McHale *,1986-87,29,BOS,NBA,77,77,3060,24.0,.655,.604,9.9,17.5,14.0,9.8,0.6,3.1,11.4,24.1,125,106,10.8,4.0,14.8,.232,.604,.000,.836
18,Tim Duncan,2006-07,30,SAS,NBA,80,80,2726,26.1,.579,.547,9.8,27.0,18.8,18.8,1.3,5.1,14.0,27.9,111,94,6.3,6.8,13.0,.230,.546,.111,.637
19,Dolph Schayes *,1954-55,26,SYR,NBA,72,,2526,23.0,.490,.383,,,,,,,,,,,6.4,5.7,12.0,.229,.383,,.833
20,Dolph Schayes *,1957-58,29,SYR,NBA,72,,2918,24.2,.508,.398,,,,,,,,,,,9.7,4.0,13.7,.226,.398,,.904
21,Dolph Schayes *,1955-56,27,SYR,NBA,72,,2517,23.7,.497,.387,,,,,,,,,,,6.9,4.9,11.8,.225,.387,,.858
22,Dolph Schayes *,1952-53,24,SYR,NBA,71,,2668,25.0,.487,.367,,,,,,,,,,,7.4,5.1,12.5,.225,.367,,.827
23,Bob Pettit *,1956-57,24,STL,NBA,71,,2491,28.1,.494,.415,,,,,,,,,,,8.4,3.2,11.6,.224,.415,,.773
24,Pau Gasol,2008-09,28,LAL,NBA,81,81,2999,22.2,.617,.567,10.0,19.3,14.7,14.8,0.9,2.1,11.3,20.4,126,105,9.8,4.2,13.9,.223,.567,.500,.781
25,Bob Pettit *,1962-63,30,STL,NBA,79,,3090,25.0,.525,.446,,,,,,,,,,,8.5,5.8,14.3,.222,.446,,.774
26,Harry Gallatin *,1951-52,24,NYK,NBA,66,,1931,22.0,.547,.442,,,,,,,,,,,7.0,1.9,8.9,.221,.442,,.806
27,Pau Gasol,2009-10,29,LAL,NBA,65,65,2403,22.9,.593,.536,11.4,22.7,17.1,15.0,0.8,3.5,12.5,21.4,120,102,6.8,4.2,11.0,.220,.536,.000,.790
28,Kevin McHale *,1985-86,28,BOS,NBA,68,62,2397,21.6,.623,.574,8.4,16.4,12.7,10.8,0.6,3.1,11.4,22.5,122,103,7.2,3.8,11.0,.220,.574,,.776
29,Tim Duncan,1999-00,23,SAS,NBA,74,74,2875,24.8,.555,.491,10.8,24.8,18.1,15.5,1.2,4.0,13.5,28.7,109,95,6.7,6.4,13.0,.218,.490,.091,.761
30,Bob Pettit *,1963-64,31,STL,NBA,80,,3296,23.6,.535,.463,,,,,,,,,,,10.1,4.8,14.9,.217,.463,,.789
31,Shawn Kemp,1993-94,24,SEA,NBA,79,73,2597,22.9,.593,.539,14.2,24.7,19.4,12.4,2.8,4.6,17.7,24.2,112,96,5.6,6.0,11.7,.216,.538,.250,.741
32,Tim Duncan,2009-10,33,SAS,NBA,78,77,2438,24.7,.560,.519,10.8,26.8,18.9,17.8,1.0,3.5,10.1,26.0,116,101,6.4,4.5,10.9,.215,.518,.182,.725
33,Detlef Schrempf,1994-95,32,SEA,NBA,82,82,2886,20.3,.641,.569,5.7,15.1,10.5,16.4,1.6,0.9,12.6,21.0,127,108,9.8,3.1,12.9,.215,.523,.514,.839
34,Tim Duncan,1998-99,22,SAS,NBA,50,50,1963,23.2,.541,.495,9.7,22.2,16.3,12.1,1.2,4.4,12.7,27.2,106,91,4.0,4.7,8.7,.213,.495,.143,.690
35,Johnny Green,1970-71,37,CIN,NBA,75,,2147,19.4,.607,.587,,,13.7,5.7,,,,,,,7.9,1.6,9.5,.212,.587,,.617
36,Dolph Schayes *,1956-57,28,SYR,NBA,72,,2851,24.4,.502,.379,,,,,,,,,,,8.8,3.7,12.5,.211,.379,,.904
37,Harry Gallatin *,1953-54,26,NYK,NBA,72,,2690,24.2,.538,.404,,,,,,,,,,,9.0,2.8,11.8,.210,.404,,.784
38,Paul Silas,1972-73,29,BOS,NBA,80,,2618,17.9,.523,.470,,,17.9,11.8,,,,,,,3.8,7.6,11.5,.210,.470,,.700
39,Bob Pettit *,1957-58,25,STL,NBA,70,,2528,26.3,.492,.410,,,,,,,,,,,7.7,3.4,11.0,.209,.410,,.749
40,Shawn Kemp,1998-99,29,CLE,NBA,42,42,1475,23.6,.578,.483,11.4,22.0,16.8,14.9,1.8,2.5,14.5,28.9,110,99,4.2,2.1,6.3,.205,.482,.500,.789
41,Shawn Kemp,1995-96,26,SEA,NBA,79,76,2631,22.6,.631,.564,13.0,26.9,20.3,11.5,1.8,3.8,20.4,26.2,111,97,5.2,6.1,11.2,.205,.561,.417,.742
42,Kevin McHale *,1987-88,30,BOS,NBA,64,63,2390,21.9,.656,.604,8.4,17.5,13.3,10.5,0.6,2.2,11.3,22.3,126,110,8.2,2.0,10.2,.205,.604,,.797
43,Vern Mikkelsen *,1954-55,26,MNL,NBA,71,,2559,20.1,.508,.422,,,,,,,,,,,7.4,3.6,10.9,.205,.422,,.747
44,Larry Nance,1991-92,32,CLE,NBA,81,81,2880,21.4,.586,.539,8.6,17.1,13.0,12.0,1.4,4.9,6.9,19.1,125,105,8.2,4.0,12.2,.204,.539,.000,.822
45,Dolph Schayes *,1951-52,23,SYR,NBA,63,,2004,23.7,.468,.355,,,,,,,,,,,4.4,4.0,8.5,.203,.355,,.807
46,Jeff Foster,2003-04,27,IND,NBA,82,79,1961,16.2,.578,.544,14.8,22.0,18.4,5.5,2.0,1.1,12.3,11.8,122,96,4.4,3.8,8.3,.202,.544,.000,.669
47,Tim Duncan,2007-08,31,SAS,NBA,78,78,2651,24.4,.546,.497,10.7,28.3,19.6,15.7,1.1,4.3,11.4,28.2,110,97,4.9,6.2,11.1,.201,.497,.000,.730
48,Nene Hilario,2010-11,28,DEN,NBA,75,75,2291,20.4,.657,.615,7.5,20.8,14.4,10.4,1.8,2.4,13.9,18.8,123,104,6.4,3.1,9.6,.201,.615,.200,.711
49,Amare Stoudemire,2006-07,24,PHO,NBA,82,78,2689,23.1,.637,.575,10.1,23.3,17.0,5.0,1.5,2.9,15.0,25.8,116,103,7.2,4.0,11.2,.201,.575,.000,.781
50,Chris Bosh,2012-13,28,MIA,NBA,18,18,605,22.4,.618,.540,8.4,19.4,14.2,7.3,0.9,3.6,10.9,23.5,120,106,2.0,0.5,2.5,.200,.534,.214,.869
51,Chris Bosh,2007-08,23,TOR,NBA,67,67,2425,23.8,.588,.499,8.4,20.1,14.2,12.1,1.4,2.2,10.7,27.7,117,105,7.0,3.1,10.1,.200,.494,.400,.844
52,Tim Duncan,2000-01,24,SAS,NBA,82,82,3174,23.8,.536,.502,9.7,25.1,17.8,15.3,1.2,4.2,12.5,28.7,106,94,6.2,7.1,13.2,.200,.499,.259,.618
53,Chris Webber,2001-02,28,SAC,NBA,54,54,2071,24.4,.540,.497,7.9,20.1,14.1,21.9,2.2,2.4,11.4,29.0,109,98,4.8,3.9,8.6,.200,.495,.263,.749
54,Harry Gallatin *,1956-57,29,NYK,NBA,72,,1943,22.9,.516,.406,,,,,,,,,,,6.4,1.6,8.1,.199,.406,,.800
55,Kevin McHale *,1984-85,27,BOS,NBA,79,31,2653,20.7,.617,.570,10.0,19.2,14.8,7.4,0.5,2.4,11.0,21.9,122,106,7.6,3.4,11.0,.199,.570,.000,.760
56,Larry Nance,1988-89,29,CLE,NBA,73,72,2526,19.9,.590,.539,7.4,18.0,13.0,9.2,1.1,4.7,9.9,19.9,119,101,5.7,4.7,10.3,.197,.539,.000,.799
57,Kevin McHale *,1983-84,26,BOS,NBA,82,10,2577,20.0,.605,.557,9.5,17.1,13.4,6.0,0.4,2.7,10.7,22.3,120,105,7.0,3.5,10.5,.196,.556,.333,.765
58,Kevin McHale *,1989-90,32,BOS,NBA,82,25,2722,21.8,.623,.558,8.6,18.4,13.7,9.5,0.5,3.3,11.7,24.1,120,107,7.8,3.3,11.1,.195,.549,.333,.893
59,Bob Pettit *,1954-55,22,MLH,NBA,72,,2659,24.4,.480,.407,,,,,,,,,,,6.1,4.6,10.7,.194,.407,,.751
60,Arnie Johnson,1951-52,31,ROC,NBA,66,,2158,16.4,.565,.433,,,,,,,,,,,7.1,1.6,8.7,.193,.433,,.778
61,Tim Duncan,1997-98,21,SAS,NBA,82,82,3204,22.6,.577,.549,10.5,23.8,17.6,13.7,0.9,4.5,15.7,26.0,108,95,5.6,7.2,12.8,.192,.549,.000,.662
62,Tim Duncan,2008-09,32,SAS,NBA,75,75,2524,24.4,.549,.504,9.6,27.9,18.9,19.3,0.8,3.7,11.1,28.5,111,100,5.0,5.0,10.1,.191,.504,.000,.692
63,Bob Pettit *,1959-60,27,STL,NBA,72,,2896,23.7,.510,.438,,,,,,,,,,,8.4,3.2,11.5,.191,.438,,.753
64,Shawn Kemp,1994-95,25,SEA,NBA,82,79,2679,21.7,.610,.548,14.4,25.0,19.8,8.8,1.9,3.5,17.1,24.4,115,102,5.9,4.7,10.6,.190,.547,.286,.749
65,Larry Nance,1986-87,27,PHO,NBA,69,67,2569,22.2,.607,.551,8.4,17.6,13.1,13.5,1.6,3.3,10.4,22.6,122,108,7.3,2.8,10.2,.190,.551,.200,.773
66,Ben Wallace,2001-02,27,DET,NBA,80,80,2921,18.6,.522,.531,12.9,28.9,21.0,6.2,2.5,6.7,10.7,10.5,117,93,4.3,7.2,11.6,.190,.531,.000,.423
67,P.J. Brown,2002-03,33,NOH,NBA,78,78,2609,17.6,.592,.531,10.7,20.7,15.6,9.2,1.4,2.2,12.2,14.0,122,100,6.4,3.8,10.2,.188,.531,.000,.836
68,Horace Grant,1993-94,28,CHI,NBA,70,69,2570,19.8,.540,.524,13.9,21.1,17.5,14.3,1.5,2.2,10.0,18.7,117,101,5.7,4.3,10.0,.188,.524,.000,.596
69,Horace Grant,1990-91,25,CHI,NBA,78,76,2641,17.6,.585,.548,12.0,17.3,14.7,8.8,1.8,1.6,9.7,15.3,126,105,6.6,3.8,10.3,.188,.547,.167,.711
70,Nene Hilario,2009-10,27,DEN,NBA,82,82,2755,18.9,.631,.587,7.0,19.1,13.1,11.6,2.1,2.2,12.2,16.5,124,105,7.1,3.7,10.8,.188,.587,.000,.704
71,Mitch Kupchak,1976-77,22,WSB,NBA,82,,1513,19.3,.605,.572,12.7,20.7,16.8,6.2,0.7,1.1,,,,98,4.1,1.9,5.9,.188,.572,,.691
72,Jerry Lucas *,1972-73,32,NYK,NBA,71,,2001,17.3,.540,.513,,,12.6,20.8,,,,,,,3.4,4.4,7.8,.188,.513,,.800
73,Carlos Boozer,2011-12,30,CHI,NBA,66,66,1948,19.7,.549,.532,6.7,25.3,16.1,11.8,1.7,0.9,11.3,23.8,108,95,3.3,4.3,7.6,.187,.532,.000,.693
74,Tim Duncan,2005-06,29,SAS,NBA,80,80,2784,23.1,.523,.485,10.1,26.9,18.7,16.5,1.4,4.2,12.2,27.7,106,94,3.9,6.9,10.8,.187,.484,.400,.629
75,Tom Heinsohn *,1961-62,27,BOS,NBA,79,,2383,20.0,.482,.429,,,,,,,,,,,3.7,5.5,9.3,.187,.429,,.819
76,Jerry Lucas *,1963-64,23,CIN,NBA,79,,3273,18.9,.578,.527,,,,,,,,,,,8.8,3.9,12.7,.187,.527,,.779
77,Larry Nance,1992-93,33,CLE,NBA,77,77,2753,19.8,.587,.549,8.0,19.3,13.9,12.1,1.0,4.4,9.0,19.1,120,103,6.3,4.4,10.7,.187,.549,.000,.818
78,Chris Webber,2000-01,27,SAC,NBA,70,70,2836,24.7,.516,.481,7.0,22.1,14.8,20.6,1.7,2.8,9.6,31.6,105,97,5.8,5.2,11.0,.186,.481,.071,.703
79,Carlos Boozer,2006-07,25,UTA,NBA,74,74,2557,24.1,.588,.561,11.2,29.9,20.6,16.6,1.4,0.7,12.8,26.5,114,104,6.5,3.4,9.9,.185,.561,,.685
80,Antonio McDyess,1997-98,23,PHO,NBA,81,81,2441,20.3,.571,.536,10.1,19.0,14.7,7.5,2.2,4.0,11.7,22.5,111,98,4.8,4.6,9.4,.185,.536,.000,.702
81,Buck Williams,1982-83,22,NJN,NBA,82,82,2961,18.6,.611,.588,14.1,25.0,19.6,5.9,1.4,2.2,17.7,18.4,112,97,5.5,5.9,11.4,.185,.588,.000,.620
82,Pau Gasol,2005-06,25,MEM,NBA,80,80,3135,22.7,.555,.504,7.5,20.0,13.8,23.7,0.8,3.9,13.8,26.4,111,100,6.6,5.4,12.0,.184,.503,.250,.689
83,Jerry Lucas *,1971-72,31,NYK,NBA,77,,2926,19.5,.548,.512,,,16.9,15.5,,,,,,,5.8,5.4,11.2,.184,.512,,.791
84,Chris Bosh,2009-10,25,TOR,NBA,70,70,2526,25.0,.592,.522,9.9,25.2,17.7,11.5,0.9,2.1,10.7,28.7,117,111,7.9,1.7,9.6,.182,.518,.364,.797
85,Arnie Johnson,1952-53,32,ROC,NBA,70,,1984,15.6,.533,.379,,,,,,,,,,,5.1,2.4,7.5,.182,.379,,.748
86,Kevin McHale *,1990-91,33,BOS,NBA,68,10,2067,21.2,.606,.561,8.4,16.5,12.8,8.8,0.6,4.0,11.9,23.9,118,106,5.3,2.6,7.9,.182,.553,.405,.829
