1,LeBron James,2008-09,24,CLE,NBA,81,81,3054,31.7,.591,.530,4.3,19.0,11.9,38.0,2.4,2.4,11.0,33.8,122,99,13.7,6.5,20.3,.318,.489,.344,.780
2,LeBron James,2009-10,25,CLE,NBA,76,76,2966,31.1,.604,.545,3.0,18.5,11.1,41.8,2.2,2.0,12.3,33.5,121,102,13.3,5.2,18.5,.299,.503,.333,.767
3,LeBron James,2011-12,27,MIA,NBA,62,62,2326,30.7,.605,.554,5.0,19.7,12.6,33.6,2.6,1.7,13.3,32.0,118,97,10.0,4.5,14.5,.298,.531,.362,.771
4,Chet Walker *,1971-72,31,CHI,NBA,78,,2588,21.8,.583,.505,,,8.7,10.5,,,,,,,10.0,4.5,14.5,.268,.505,,.847
5,Paul Arizin *,1951-52,23,PHW,NBA,66,,2939,25.5,.546,.448,,,,,,,,,,,14.8,1.2,16.0,.261,.448,,.818
6,LeBron James,2012-13,28,MIA,NBA,18,18,676,28.9,.596,.576,5.3,22.4,14.4,34.1,1.8,1.8,10.8,29.5,119,105,2.8,0.7,3.5,.252,.539,.439,.650
7,LeBron James,2010-11,26,MIA,NBA,79,79,3063,27.3,.594,.541,3.3,18.7,11.4,34.9,2.1,1.3,13.8,31.5,116,102,10.3,5.3,15.6,.244,.510,.330,.759
8,LeBron James,2007-08,23,CLE,NBA,75,74,3027,29.1,.568,.518,4.9,17.8,11.1,37.3,2.4,2.1,11.4,33.5,116,104,10.7,4.6,15.2,.242,.484,.315,.712
9,Adrian Dantley *,1983-84,27,UTA,NBA,79,79,2984,24.6,.652,.558,6.7,9.0,7.9,16.2,0.9,0.1,12.4,28.2,126,112,13.0,1.6,14.6,.235,.558,.250,.859
10,Frank Ramsey *,1957-58,26,BOS,NBA,69,,2047,19.5,.513,.419,,,,,,,,,,,6.4,3.6,10.0,.234,.419,,.811
11,LeBron James,2005-06,21,CLE,NBA,79,79,3361,28.1,.568,.515,2.6,17.1,9.8,32.8,2.0,1.5,10.7,33.6,115,104,12.0,4.3,16.3,.232,.480,.335,.738
12,Julius Erving *,1980-81,30,PHI,NBA,82,,2874,25.1,.572,.522,10.0,14.6,12.5,19.8,2.8,2.8,13.1,28.4,113,97,7.8,6.1,13.8,.231,.521,.222,.787
13,Julius Erving *,1981-82,31,PHI,NBA,81,81,2789,25.9,.593,.547,9.3,13.0,11.2,18.1,2.8,2.9,11.4,28.1,117,102,8.7,4.6,13.3,.229,.546,.273,.763
14,Paul Arizin *,1958-59,30,PHW,NBA,70,,2799,21.9,.519,.431,,,,,,,,,,,10.0,3.0,13.0,.223,.431,,.813
15,Adrian Dantley *,1985-86,29,UTA,NBA,76,75,2744,24.6,.629,.563,7.2,8.5,7.8,16.7,1.1,0.1,11.4,30.0,121,109,10.4,2.3,12.8,.223,.563,.091,.791
16,Cliff Hagan *,1957-58,26,STL,NBA,70,,2190,22.6,.513,.443,,,,,,,,,,,7.7,2.4,10.0,.220,.443,,.768
17,Julius Erving *,1982-83,32,PHI,NBA,72,72,2421,23.1,.566,.518,7.9,13.3,10.7,16.5,2.2,3.0,12.6,25.5,115,99,6.8,4.1,10.9,.217,.517,.286,.759
18,John Drew,1975-76,21,ATL,NBA,77,,2351,25.3,.570,.502,12.2,16.9,14.5,10.9,2.7,0.7,,,,98,8.2,2.4,10.6,.216,.502,,.744
19,Paul Arizin *,1955-56,27,PHW,NBA,72,,2724,21.3,.526,.448,,,,,,,,,,,10.2,2.0,12.2,.214,.448,,.810
20,Paul Arizin *,1956-57,28,PHW,NBA,71,,2767,22.2,.515,.422,,,,,,,,,,,10.7,1.6,12.3,.213,.422,,.829
21,Julius Erving *,1979-80,29,PHI,NBA,78,,2812,25.4,.568,.520,8.6,12.9,10.9,21.4,2.8,2.7,13.3,30.3,111,99,7.3,5.2,12.5,.213,.519,.200,.787
22,Chet Walker *,1972-73,32,CHI,NBA,79,,2455,20.3,.543,.478,,,8.1,11.5,,,,,,,7.2,3.6,10.9,.213,.478,,.832
23,Marques Johnson,1980-81,24,MIL,NBA,76,,2542,22.0,.583,.552,10.1,12.4,11.3,19.7,2.1,0.9,12.6,23.3,118,102,7.6,3.6,11.2,.211,.552,.000,.706
24,Marques Johnson,1978-79,22,MIL,NBA,77,,2779,23.9,.586,.550,8.4,14.9,11.7,12.3,1.9,1.7,9.2,25.9,117,103,9.2,3.0,12.2,.211,.550,,.760
25,Adrian Dantley *,1987-88,31,DET,NBA,69,50,2144,19.9,.619,.514,4.5,7.3,5.9,11.9,0.9,0.3,10.8,24.2,124,109,7.5,1.9,9.4,.210,.514,.000,.860
26,Cliff Hagan *,1958-59,27,STL,NBA,72,,2702,22.7,.516,.456,,,,,,,,,,,9.0,2.8,11.7,.209,.456,,.774
27,Scottie Pippen *,1995-96,30,CHI,NBA,77,77,2825,21.0,.551,.525,6.3,14.2,10.2,25.2,2.5,1.5,13.2,24.4,116,101,7.0,5.3,12.3,.209,.463,.374,.679
28,George Yardley *,1957-58,29,DET,NBA,72,,2843,23.3,.505,.414,,,,,,,,,,,10.2,2.2,12.3,.208,.414,,.811
29,LeBron James,2006-07,22,CLE,NBA,78,78,3190,24.5,.552,.507,3.0,16.6,9.6,29.1,2.1,1.3,11.5,31.0,112,100,8.0,5.7,13.7,.206,.476,.319,.698
30,Marques Johnson,1979-80,23,MIL,NBA,77,,2686,22.0,.585,.545,9.0,13.7,11.4,15.1,1.7,1.4,11.5,23.9,118,103,8.0,3.5,11.5,.206,.544,.222,.791
31,Chet Walker *,1974-75,34,CHI,NBA,76,,2452,19.5,.568,.487,4.9,13.6,9.3,11.8,1.0,0.1,,,,97,7.6,2.9,10.5,.205,.487,,.860
32,Jack Twyman *,1957-58,23,CIN,NBA,72,,2178,18.9,.514,.452,,,,,,,,,,,7.0,2.2,9.3,.204,.452,,.775
33,Cliff Hagan *,1959-60,28,STL,NBA,75,,2798,22.0,.522,.464,,,,,,,,,,,9.3,2.5,11.8,.203,.464,,.803
