1,Michael Jordan *,1990-91,27,CHI,NBA,82,82,3034,31.6,.605,.547,4.6,14.3,9.5,25.2,3.7,1.7,8.7,32.9,125,102,14.9,5.4,20.3,.321,.539,.312,.851
2,Michael Jordan *,1995-96,32,CHI,NBA,82,82,3090,29.4,.582,.525,5.6,14.9,10.2,21.2,3.1,1.0,8.4,33.3,124,100,14.2,6.2,20.4,.317,.495,.427,.834
3,Michael Jordan *,1987-88,24,CHI,NBA,82,82,3311,31.7,.603,.537,4.8,10.7,7.8,27.0,3.9,2.4,9.6,34.1,123,101,15.2,6.1,21.2,.308,.535,.132,.841
4,Al Cervi *,1951-52,34,SYR,NBA,55,,850,21.9,.536,.354,,,,,,,,,,,4.1,1.2,5.3,.297,.354,,.883
5,Michael Jordan *,1988-89,25,CHI,NBA,81,81,3255,31.1,.614,.546,5.5,17.3,11.6,34.7,3.6,1.2,11.9,32.1,123,103,14.6,5.2,19.8,.292,.538,.276,.850
6,Michael Jordan *,1989-90,26,CHI,NBA,82,82,3197,31.2,.606,.550,5.3,15.6,10.4,28.6,3.5,1.1,9.8,33.7,123,106,14.7,4.3,19.0,.285,.526,.376,.848
7,Michael Jordan *,1996-97,33,CHI,NBA,82,82,3106,27.8,.567,.516,4.2,13.2,8.8,21.2,2.4,1.1,7.2,33.2,121,102,13.3,5.0,18.3,.283,.486,.374,.833
8,Oscar Robertson *,1963-64,25,CIN,NBA,79,,3559,27.6,.576,.483,,,,,,,,,,,16.2,4.4,20.6,.278,.483,,.853
9,Michael Jordan *,1991-92,28,CHI,NBA,80,80,3102,27.7,.579,.526,3.5,15.3,9.5,25.7,3.0,1.5,8.8,31.7,121,102,12.1,5.6,17.7,.274,.519,.270,.832
10,Magic Johnson *,1989-90,30,LAL,NBA,79,79,2937,26.6,.622,.526,5.2,14.8,10.2,45.5,2.2,0.7,16.9,24.8,126,106,12.8,3.8,16.5,.270,.480,.384,.890
11,Michael Jordan *,1992-93,29,CHI,NBA,78,78,3067,29.7,.564,.515,4.9,15.1,9.8,25.2,3.7,1.3,8.4,34.7,119,102,12.0,5.2,17.2,.270,.495,.352,.837
12,Magic Johnson *,1988-89,29,LAL,NBA,77,77,2886,26.9,.625,.535,4.6,18.0,11.7,48.6,2.3,0.4,18.4,24.3,125,105,12.1,4.0,16.1,.267,.509,.314,.911
